,Side,Rank_type,Metric,Value
0,head,optimistic,inverse_median_rank,1.0
1,tail,optimistic,inverse_median_rank,0.0011655011655011655
2,both,optimistic,inverse_median_rank,0.0012077294685990338
3,head,realistic,inverse_median_rank,0.0021715527400374413
4,tail,realistic,inverse_median_rank,0.0007627765298821032
5,both,realistic,inverse_median_rank,0.000789421726949513
6,head,pessimistic,inverse_median_rank,0.0010869565217391304
7,tail,pessimistic,inverse_median_rank,0.0005668934240362812
8,both,pessimistic,inverse_median_rank,0.0005943536404160475
9,head,optimistic,inverse_geometric_mean_rank,0.038228258950681285
10,tail,optimistic,inverse_geometric_mean_rank,0.028786057929260717
11,both,optimistic,inverse_geometric_mean_rank,0.03317289370388256
12,head,realistic,inverse_geometric_mean_rank,0.001340721733868122
13,tail,realistic,inverse_geometric_mean_rank,0.001273808185942471
14,both,realistic,inverse_geometric_mean_rank,0.001306836842559278
15,head,pessimistic,inverse_geometric_mean_rank,0.000815588567494497
16,tail,pessimistic,inverse_geometric_mean_rank,0.0007883353188956368
17,both,pessimistic,inverse_geometric_mean_rank,0.0008018461656972676
18,head,optimistic,inverse_harmonic_mean_rank,0.5190660972363476
19,tail,optimistic,inverse_harmonic_mean_rank,0.4779552791668045
20,both,optimistic,inverse_harmonic_mean_rank,0.49851068820157596
21,head,realistic,inverse_harmonic_mean_rank,0.0015452333027496934
22,tail,realistic,inverse_harmonic_mean_rank,0.0014745559310540557
23,both,realistic,inverse_harmonic_mean_rank,0.0015098947333171964
24,head,pessimistic,inverse_harmonic_mean_rank,0.00086476787579138
25,tail,pessimistic,inverse_harmonic_mean_rank,0.0008368159779750769
26,both,pessimistic,inverse_harmonic_mean_rank,0.0008507919268832284
27,head,optimistic,median_rank,1.0
28,tail,optimistic,median_rank,858.0
29,both,optimistic,median_rank,828.0
30,head,realistic,median_rank,460.5
31,tail,realistic,median_rank,1311.0
32,both,realistic,median_rank,1266.75
33,head,pessimistic,median_rank,920.0
34,tail,pessimistic,median_rank,1764.0
35,both,pessimistic,median_rank,1682.5
36,head,optimistic,z_geometric_mean_rank,15.151426648419557
37,tail,optimistic,z_geometric_mean_rank,14.947398005598846
38,both,optimistic,z_geometric_mean_rank,21.261668453328657
39,head,realistic,z_geometric_mean_rank,-2.368009630676598
40,tail,realistic,z_geometric_mean_rank,-3.1955211095605076
41,both,realistic,z_geometric_mean_rank,-3.948268114305332
42,head,pessimistic,z_geometric_mean_rank,-14.058245692498444
43,tail,pessimistic,z_geometric_mean_rank,-14.885594640556208
44,both,pessimistic,z_geometric_mean_rank,-20.47622079214998
45,head,optimistic,arithmetic_mean_rank,424.16460905349794
46,tail,optimistic,arithmetic_mean_rank,464.4485596707819
47,both,optimistic,arithmetic_mean_rank,444.3065843621399
48,head,realistic,arithmetic_mean_rank,862.687255859375
49,tail,realistic,arithmetic_mean_rank,904.611083984375
50,both,realistic,arithmetic_mean_rank,883.649169921875
51,head,pessimistic,arithmetic_mean_rank,1301.20987654321
52,tail,pessimistic,arithmetic_mean_rank,1344.7736625514403
53,both,pessimistic,arithmetic_mean_rank,1322.991769547325
54,head,optimistic,harmonic_mean_rank,1.9265369195258146
55,tail,optimistic,harmonic_mean_rank,2.092245956030133
56,both,optimistic,harmonic_mean_rank,2.0059750446025415
57,head,realistic,harmonic_mean_rank,647.1514892578125
58,tail,realistic,harmonic_mean_rank,678.1702880859375
59,both,realistic,harmonic_mean_rank,662.2978515625
60,head,pessimistic,harmonic_mean_rank,1156.3796805991021
61,tail,pessimistic,harmonic_mean_rank,1195.005863080907
62,both,pessimistic,harmonic_mean_rank,1175.3755159188886
63,head,optimistic,z_inverse_harmonic_mean_rank,264.97547085536996
64,tail,optimistic,z_inverse_harmonic_mean_rank,244.6199947088103
65,both,optimistic,z_inverse_harmonic_mean_rank,360.3616208700037
66,head,realistic,z_inverse_harmonic_mean_rank,-1.566211566725849
67,tail,realistic,z_inverse_harmonic_mean_rank,-1.5940416365492074
68,both,realistic,z_inverse_harmonic_mean_rank,-2.234600953387047
69,head,pessimistic,z_inverse_harmonic_mean_rank,-1.916675504262501
70,tail,pessimistic,z_inverse_harmonic_mean_rank,-1.9235838831273253
71,both,pessimistic,z_inverse_harmonic_mean_rank,-2.7154617297620725
72,head,optimistic,geometric_mean_rank,26.158659260159126
73,tail,optimistic,geometric_mean_rank,34.739039380015655
74,both,optimistic,geometric_mean_rank,30.145094031485108
75,head,realistic,geometric_mean_rank,745.866943359375
76,tail,realistic,geometric_mean_rank,785.0475463867188
77,both,realistic,geometric_mean_rank,765.2064819335938
78,head,pessimistic,geometric_mean_rank,1226.1084079096624
79,tail,pessimistic,geometric_mean_rank,1268.495747978005
80,both,pessimistic,geometric_mean_rank,1247.122007661435
81,head,optimistic,count,243.0
82,tail,optimistic,count,243.0
83,both,optimistic,count,486.0
84,head,realistic,count,243.0
85,tail,realistic,count,243.0
86,both,realistic,count,486.0
87,head,pessimistic,count,243.0
88,tail,pessimistic,count,243.0
89,both,pessimistic,count,486.0
90,head,optimistic,adjusted_geometric_mean_rank_index,0.9611501944055819
91,tail,optimistic,adjusted_geometric_mean_rank_index,0.9482446997675129
92,both,optimistic,adjusted_geometric_mean_rank_index,0.9550981469411518
93,head,realistic,adjusted_geometric_mean_rank_index,-0.15021772996647242
94,tail,realistic,adjusted_geometric_mean_rank_index,-0.20271996196267428
95,both,realistic,adjusted_geometric_mean_rank_index,-0.1773606604710971
96,head,pessimistic,adjusted_geometric_mean_rank_index,-0.891802857505551
97,tail,pessimistic,adjusted_geometric_mean_rank_index,-0.9443239696640173
98,both,pessimistic,adjusted_geometric_mean_rank_index,-0.9198149513933647
99,head,optimistic,adjusted_inverse_harmonic_mean_rank,0.516850270903331
100,tail,optimistic,adjusted_inverse_harmonic_mean_rank,0.4755641702741948
101,both,optimistic,adjusted_inverse_harmonic_mean_rank,0.4962069425171688
