Side,Rank_type,Metric,Value
head,optimistic,inverse_median_rank,0.001215066828675577
tail,optimistic,inverse_median_rank,0.0012062726176115801
both,optimistic,inverse_median_rank,0.0012143290831815423
head,realistic,inverse_median_rank,0.001215066877193749
tail,realistic,inverse_median_rank,0.0012062726309522986
both,realistic,inverse_median_rank,0.0012143290368840098
head,pessimistic,inverse_median_rank,0.001215066828675577
tail,pessimistic,inverse_median_rank,0.0012062726176115801
both,pessimistic,inverse_median_rank,0.0012143290831815423
head,optimistic,inverse_geometric_mean_rank,0.001670007629229806
tail,optimistic,inverse_geometric_mean_rank,0.0016353673962771517
both,optimistic,inverse_geometric_mean_rank,0.0016525967531060093
head,realistic,inverse_geometric_mean_rank,0.0016700077103450894
tail,realistic,inverse_geometric_mean_rank,0.0016353682149201632
both,realistic,inverse_geometric_mean_rank,0.0016525974497199059
head,pessimistic,inverse_geometric_mean_rank,0.001670007629229806
tail,pessimistic,inverse_geometric_mean_rank,0.0016353673962771517
both,pessimistic,inverse_geometric_mean_rank,0.0016525967531060093
head,optimistic,inverse_harmonic_mean_rank,0.008175424690631166
tail,optimistic,inverse_harmonic_mean_rank,0.0078733223081095
both,optimistic,inverse_harmonic_mean_rank,0.008024373499370333
head,realistic,inverse_harmonic_mean_rank,0.008175425231456757
tail,realistic,inverse_harmonic_mean_rank,0.007873321883380413
both,realistic,inverse_harmonic_mean_rank,0.008024374023079872
head,pessimistic,inverse_harmonic_mean_rank,0.008175424690631166
tail,pessimistic,inverse_harmonic_mean_rank,0.0078733223081095
both,pessimistic,inverse_harmonic_mean_rank,0.008024373499370333
head,optimistic,median_rank,823.0
tail,optimistic,median_rank,829.0
both,optimistic,median_rank,823.5
head,realistic,median_rank,823.0
tail,realistic,median_rank,829.0
both,realistic,median_rank,823.5
head,pessimistic,median_rank,823.0
tail,pessimistic,median_rank,829.0
both,pessimistic,median_rank,823.5
head,optimistic,z_geometric_mean_rank,1.21196292565703
tail,optimistic,z_geometric_mean_rank,1.0013664563285456
both,optimistic,z_geometric_mean_rank,1.5425184491700676
head,realistic,z_geometric_mean_rank,1.211963852385761
